ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Sudeste,MG,3103108,Interior,Estadual,Urbana,205.068363,174.21077,Masculino,Parda,Abril,2002,Não tem,Não sei,"Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Centro-Oeste,GO,5210406,Interior,Estadual,Urbana,310.342138,288.673675,Masculino,Parda,Julho,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3549805,Interior,Estadual,Urbana,279.385232,299.38013,Feminino,Branca,Abril,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Nordeste,MA,2104677,Interior,Municipal,Rural,187.22219,219.507813,Masculino,Parda,Abril,2002,Não tem,Não sei,Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Menos de 1 hora,Sim,Continuar estudando e trabalhar
2017,Sul,RS,6310409,Interior,Estadual,Urbana,332.450829,302.34192,Feminino,Preta,Outubro,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Mais de 3 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Sul,PR,4104907,Interior,Estadual,Urbana,336.368132,253.677811,Masculino,Branca,Junho,2003,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Menos de 1 hora,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sudeste,SP,3534401,Interior,Estadual,Urbana,209.818678,208.72691,Masculino,Parda,Janeiro,2003,"Sim, dois",Não sei,Não sei,Menos de 1 hora,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sul,SC,4209805,Interior,Estadual,Urbana,306.657273,288.976611,Feminino,Branca,Abril,2002,"Sim, um",Completou a Faculdade,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,PE,2604106,Interior,Estadual,Urbana,235.43902,177.627692,Feminino,NA,Fevereiro,2002,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Norte,AM,1302603,Capital,Estadual,Urbana,232.749968,236.163839,Masculino,Não quero declarar,Abril,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,BA,2918357,Interior,Municipal,Rural,203.331379,226.003061,Masculino,Preta,Novembro,2000,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,"Mais de 2 horas, até 3 horas",Não,Somente continuar estudando
