,ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
1,2017,Sudeste,MG,3103405,Interior,Estadual,Urbana,259.30282,235.434164,Feminino,Branca,Maio,2003,"Sim, um",Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Não,Ainda não sei
2,2017,Centro-Oeste,GO,5208707,Capital,Estadual,Urbana,342.004844,288.827267,Feminino,Branca,Maio,2002,"Sim, dois",Não sei,Não sei,Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
4,2017,Nordeste,CE,2313906,Interior,Municipal,Rural,297.686917,264.617617,Masculino,Parda,Outubro,2002,Não tem,Não sei,Não sei,Menos de 1 hora,Menos de 1 hora,Não,Ainda não sei
5,2017,Sudeste,RJ,3304557,Capital,Municipal,Urbana,308.644767,280.225996,Masculino,Parda,Outubro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
6,2017,Sudeste,SP,3552403,Interior,Estadual,Urbana,301.699146,296.253848,Masculino,Preta,Maio,2003,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
7,2017,Nordeste,SE,2803203,Interior,Estadual,Urbana,189.95146,219.17078199999997,Feminino,Amarela,Junho,2000,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Nunca estudou,Menos de 1 hora,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
8,2017,Sul,RS,4314407,Interior,Municipal,Rural,227.91315600000001,288.179978,Masculino,Branca,Janeiro,2003,"Sim, três","Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
10,2017,Sudeste,MG,3136009,Interior,Municipal,Rural,180.324116,230.52547599999997,Masculino,Parda,Setembro,2002,"Sim, um",Nunca estudou,Nunca estudou,"Mais de 2 horas, até 3 horas",Não faço trabalhos domésticos,Sim,Somente trabalhar
11,2017,Nordeste,CE,2313203,Interior,Municipal,Urbana,241.884888,208.590812,Feminino,Parda,Março,2003,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Ainda não sei
12,2017,Nordeste,BA,2913002,Interior,Municipal,Rural,184.009807,140.202972,Masculino,Parda,Outubro,2001,Não tem,Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Ainda não sei
13,2017,Nordeste,PB,2515971,Interior,Municipal,Urbana,148.558495,210.866356,Masculino,Parda,Dezembro,2001,Não tem,Nunca estudou,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,Menos de 1 hora,Não,Ainda não sei
14,2017,Sudeste,SP,3547304,Interior,Municipal,Urbana,279.56692999999996,283.050515,Feminino,Parda,Novembro,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
15,2017,Sul,PR,4126256,Interior,Estadual,Urbana,304.92618500000003,321.342125,Masculino,Parda,Julho,2003,"Sim, um",Não sei,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
16,2017,Norte,RR,1400100,Capital,Estadual,Urbana,204.467515,284.351968,Masculino,Parda,Junho,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Menos de 1 hora,Entre 1 e 2 horas,Não,Somente continuar estudando
18,2017,Nordeste,BA,2912301,Interior,Municipal,Urbana,297.269034,278.620098,Feminino,Parda,Junho,2001,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Nunca estudou,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
19,2017,Sudeste,MG,3170206,Interior,Estadual,Urbana,290.97230299999995,271.970364,Feminino,Parda,Março,2002,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas",Mais de 3 horas,Não,Continuar estudando e trabalhar
20,2017,Nordeste,PE,2611533,Interior,Estadual,Rural,297.067392,356.408748,Masculino,Parda,Novembro,2003,"Sim, um",Não sei,Completou a Faculdade,Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
22,2017,Norte,AC,1200401,Capital,Estadual,Urbana,290.593702,278.239248,Masculino,Parda,Outubro,2002,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Somente continuar estudando
23,2017,Nordeste,PE,2604106,Interior,Municipal,Urbana,273.598997,280.157864,Masculino,Parda,Março,2003,"Sim, um",Não sei,Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
24,2017,Nordeste,AL,2702306,Interior,Municipal,Urbana,205.817523,273.600911,Masculino,Parda,Maio,2002,Não tem,Não completou o 5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
26,2017,Sul,PR,4115200,Interior,Estadual,Urbana,247.58644500000003,261.67650699999996,Feminino,Parda,Dezembro,2002,Não tem,Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Ainda não sei
27,2017,Nordeste,AL,2706703,Interior,Municipal,Rural,210.76689,234.787546,Masculino,Branca,Dezembro,2002,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
28,2017,Nordeste,PE,2613602,Interior,Municipal,Urbana,172.08501299999998,196.40578100000002,Feminino,Branca,Dezembro,2002,Não tem,Não completou o 5.º ano do Ensino Fundamental,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
30,2017,Centro-Oeste,GO,6310908,Interior,Municipal,Urbana,269.014072,253.439934,Feminino,Preta,Julho,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
31,2017,Nordeste,BA,2922003,Interior,Municipal,Urbana,231.91519300000002,258.81453999999997,Feminino,Preta,Dezembro,2002,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Menos de 1 hora,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
32,2017,Centro-Oeste,MT,5105101,Interior,Estadual,Urbana,163.831146,199.811469,Masculino,Branca,Setembro,2002,Não tem,Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
33,2017,Sudeste,SP,3513009,Interior,Estadual,Urbana,191.884136,244.267779,Masculino,Não quero declarar,Julho,2003,"Sim, um",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Ainda não sei
34,2017,Sudeste,SP,3516804,Interior,Estadual,Urbana,272.956168,225.62232200000003,Feminino,Parda,Julho,2003,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
35,2017,Nordeste,BA,2911808,Interior,Municipal,Urbana,207.248683,226.64191,Masculino,Não quero declarar,Novembro,2002,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não sei,Entre 1 e 2 horas,Menos de 1 hora,Sim,Somente continuar estudando
36,2017,Sudeste,SP,3500550,Interior,Estadual,Urbana,276.867741,258.318663,Masculino,Branca,Dezembro,2002,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Mais de 3 horas,Sim,Continuar estudando e trabalhar
37,2017,Sudeste,SP,3501905,Interior,Estadual,Urbana,245.797013,212.546144,Feminino,Branca,Junho,2001,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
38,2017,Sudeste,SP,3507605,Interior,Estadual,Urbana,233.22112599999997,261.987436,Feminino,Branca,Dezembro,2002,Não tem,Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
39,2017,Sudeste,MG,3136959,Interior,Estadual,Urbana,266.80769300000003,291.966348,Feminino,Parda,Julho,2002,Não tem,Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
40,2017,Sudeste,MG,3139409,Interior,Estadual,Urbana,359.118496,272.49066600000003,Feminino,Branca,Fevereiro,2003,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
42,2017,Sudeste,MG,3106200,Capital,Municipal,Urbana,283.821295,292.834188,Feminino,Parda,Maio,2003,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
43,2017,Nordeste,BA,2913606,Interior,Estadual,Urbana,274.731441,286.810057,Masculino,Preta,Novembro,2002,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
44,2017,Sudeste,MG,3152808,Interior,Estadual,Urbana,230.184435,252.919464,Feminino,Parda,Fevereiro,2003,"Sim, um",Não completou o 5.º ano do Ensino Fundamental,"Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
45,2017,Sudeste,RJ,3303104,Interior,Municipal,Urbana,311.703219,256.47231600000003,Feminino,Amarela,Abril,2001,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
46,2017,Sudeste,MG,3103504,Interior,Estadual,Urbana,307.236856,267.45275499999997,Feminino,Branca,Março,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
47,2017,Sul,PR,4122305,Interior,Estadual,Urbana,179.435845,168.352416,Masculino,Branca,Abril,2002,"Sim, um",Não sei,Não sei,Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
48,2017,Sudeste,RJ,3302452,Interior,Estadual,Urbana,221.765398,255.559594,Feminino,Branca,Outubro,2002,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
49,2017,Sudeste,MG,3109006,Interior,Municipal,Urbana,341.646407,343.60974100000004,Feminino,Parda,Agosto,2002,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade",Menos de 1 hora,Menos de 1 hora,Não,Continuar estudando e trabalhar
50,2017,Sul,PR,4128609,Interior,Estadual,Urbana,286.532109,318.14240099999995,Masculino,Preta,Agosto,2003,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
51,2017,Nordeste,PB,2504306,Interior,Estadual,Urbana,284.95324300000004,306.58297400000004,Masculino,Preta,Agosto,2002,"Sim, um",Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
52,2017,Nordeste,CE,2312403,Interior,Municipal,Urbana,305.152894,315.066144,Masculino,Parda,Julho,2002,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
53,2017,Centro-Oeste,GO,5201405,Interior,Estadual,Urbana,215.377764,262.00588,Feminino,Preta,Novembro,2002,Não tem,Não completou o 5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
55,2017,Sul,SC,4204301,Interior,Estadual,Urbana,326.799517,279.611293,Feminino,Branca,Junho,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
56,2017,Nordeste,CE,2311801,Interior,Municipal,Rural,238.65250600000002,255.66551,Masculino,Parda,Novembro,2001,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
57,2017,Sudeste,SP,3550308,Capital,Municipal,Urbana,251.74065,281.559755,Masculino,Branca,Novembro,2002,"Sim, três","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,Mais de 3 horas,"Mais de 2 horas, até 3 horas",Sim,Continuar estudando e trabalhar
58,2017,Centro-Oeste,DF,5300108,Capital,Estadual,Urbana,329.72288100000003,271.920955,Masculino,Parda,Agosto,2001,"Sim, um",Não completou o 5.º ano do Ensino Fundamental,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
61,2017,Sudeste,SP,3518305,Interior,Estadual,Urbana,286.8868,236.273164,Masculino,Branca,Março,2003,"Sim, três",Não completou o 5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Menos de 1 hora,Não,Ainda não sei
62,2017,Norte,PA,1505437,Interior,Municipal,Urbana,255.522369,280.56135,Feminino,Parda,Março,2001,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
63,2017,Sudeste,SP,3541000,Interior,Municipal,Urbana,325.456506,263.469588,Feminino,Branca,Novembro,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
65,2017,Centro-Oeste,GO,5207352,Interior,Municipal,Urbana,293.688682,325.49269,Masculino,Parda,Julho,2002,"Sim, um",Não sei,Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
66,2017,Sul,RS,4319406,Interior,Municipal,Rural,192.97558999999998,211.880746,Masculino,Não quero declarar,Junho,2002,"Sim, um",Não sei,Não sei,Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Não,Ainda não sei
67,2017,Centro-Oeste,GO,5208707,Capital,Municipal,Urbana,323.187211,311.16754199999997,Feminino,Não quero declarar,Dezembro,2002,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas",Menos de 1 hora,Sim,Continuar estudando e trabalhar
68,2017,Nordeste,AL,2709202,Interior,Municipal,Rural,191.115142,213.767783,Feminino,Parda,Abril,2002,"Sim, um","Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Menos de 1 hora,Não faço trabalhos domésticos,Não,Somente continuar estudando
69,2017,Sudeste,SP,3538006,Interior,Estadual,Urbana,188.609551,207.36386299999998,Masculino,Branca,Janeiro,2003,"Sim, um","Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Mais de 3 horas,Não,Ainda não sei
70,2017,Sudeste,SP,3550308,Capital,Municipal,Urbana,277.981674,294.403253,Feminino,Branca,Fevereiro,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
71,2017,Nordeste,CE,2312908,Interior,Municipal,Urbana,335.380969,373.339485,Feminino,Parda,Julho,2002,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Continuar estudando e trabalhar
72,2017,Sul,PR,4106902,Capital,Estadual,Urbana,245.81321,297.674016,Feminino,Branca,Fevereiro,2003,"Sim, um",Não sei,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Somente continuar estudando
73,2017,Sudeste,RJ,3303500,Interior,Estadual,Urbana,191.958567,196.213512,Feminino,Preta,Abril,2003,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
74,2017,Sul,RS,4303509,Interior,Municipal,Rural,215.49334900000002,210.283567,Masculino,Não quero declarar,Dezembro,2001,Não tem,Não completou o 5.º ano do Ensino Fundamental,Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
75,2017,Sul,RS,4313409,Interior,Municipal,Urbana,224.925168,261.006134,Masculino,Não quero declarar,Julho,2002,"Sim, três","Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
76,2017,Norte,RR,1400100,Capital,Estadual,Urbana,264.464683,282.25813,Feminino,Parda,Abril,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Menos de 1 hora,Não,Ainda não sei
78,2017,Nordeste,BA,2910057,Interior,Municipal,Urbana,165.24991,225.016729,Feminino,Preta,Fevereiro,2002,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Sim,Continuar estudando e trabalhar
79,2017,Sul,SC,4202404,Interior,Municipal,Urbana,311.094658,254.05011000000002,Feminino,Branca,Julho,2002,"Sim, um",Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
80,2017,Sul,SC,4209151,Interior,Estadual,Urbana,182.96743999999998,132.534377,Masculino,Indígena,Maio,2002,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Menos de 1 hora,Menos de 1 hora,Não,Ainda não sei
82,2017,Nordeste,BA,2922003,Interior,Municipal,Urbana,267.08277400000003,337.346055,Masculino,Preta,Agosto,2001,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Mais de 3 horas,Menos de 1 hora,Sim,Continuar estudando e trabalhar
84,2017,Norte,PA,1508001,Interior,Municipal,Urbana,253.10558799999998,191.403027,Feminino,Branca,Janeiro,2002,Não tem,Não sei,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Ainda não sei
85,2017,Sul,SC,4204301,Interior,Municipal,Urbana,320.101266,353.31695299999996,Masculino,Branca,Agosto,2002,"Sim, um",Completou a Faculdade,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Menos de 1 hora,Sim,Somente continuar estudando
86,2017,Sudeste,ES,3204351,Interior,Municipal,Rural,288.241325,306.454869,Feminino,Parda,Setembro,2002,Não tem,Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
88,2017,Sudeste,SP,3524402,Interior,Estadual,Urbana,339.821109,269.572024,Feminino,Branca,Junho,2003,"Sim, quatro ou mais","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,Mais de 3 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
89,2017,Nordeste,PB,2509909,Interior,Estadual,Urbana,237.67487400000002,181.66105,Feminino,Preta,Setembro,2003,Não tem,Nunca estudou,Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
90,2017,Sudeste,SP,3519071,Interior,Estadual,Urbana,247.670848,225.925985,Feminino,Branca,Abril,2003,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
91,2017,Nordeste,PE,2611101,Interior,Estadual,Rural,293.434536,257.663158,Feminino,Parda,Outubro,2002,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
92,2017,Sudeste,SP,3513801,Interior,Estadual,Urbana,296.616784,270.12334599999997,Masculino,Não quero declarar,Junho,2002,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
93,2017,Nordeste,MA,2101202,Interior,Municipal,Urbana,220.370269,202.808192,Feminino,Parda,Maio,2003,Não tem,Não sei,Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
94,2017,Centro-Oeste,GO,5214606,Interior,Estadual,Urbana,251.17043399999997,211.47105499999998,Masculino,Não quero declarar,Novembro,2005 ou depois,Não tem,Nunca estudou,Nunca estudou,Menos de 1 hora,Menos de 1 hora,Sim,Somente continuar estudando
95,2017,Nordeste,BA,2917607,Interior,Municipal,Urbana,171.31084199999998,127.20236000000001,Feminino,Preta,Agosto,1999,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Nunca estudou,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Menos de 1 hora,Não,Continuar estudando e trabalhar
96,2017,Sudeste,SP,3541059,Interior,Estadual,Urbana,218.144112,192.751373,Masculino,Parda,Outubro,2001,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Menos de 1 hora,Mais de 3 horas,Não,Continuar estudando e trabalhar
97,2017,Nordeste,BA,2926202,Interior,Municipal,Urbana,261.73855299999997,247.142769,Masculino,Parda,Outubro,2003,"Sim, um",Completou a Faculdade,Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Ainda não sei
98,2017,Sudeste,MG,3106200,Capital,Estadual,Urbana,283.36088,289.679345,Masculino,Preta,Março,2003,Não tem,Nunca estudou,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
99,2017,Sudeste,SP,3513801,Interior,Estadual,Urbana,254.141343,284.494382,Feminino,Branca,Dezembro,2002,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
100,2017,Sudeste,ES,3204906,Interior,Estadual,Urbana,274.388154,258.94331600000004,Masculino,Parda,Setembro,2002,Não tem,Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Ainda não sei
101,2017,Sudeste,ES,3201308,Interior,Estadual,Urbana,248.89540899999997,237.50475099999997,Feminino,Branca,Agosto,2002,"Sim, um",Não sei,Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
102,2017,Centro-Oeste,DF,5300108,Capital,Estadual,Urbana,303.50295800000004,289.707012,Masculino,Parda,Novembro,2000,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas",Menos de 1 hora,Sim,Continuar estudando e trabalhar
104,2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,270.640649,236.97791,Feminino,Parda,Abril,2003,"Sim, um",Não sei,Não sei,"Mais de 2 horas, até 3 horas",Mais de 3 horas,Não,Continuar estudando e trabalhar
105,2017,Norte,RO,1101492,Interior,Estadual,Urbana,206.996631,225.04294199999998,Feminino,Parda,Novembro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
106,2017,Norte,PA,1504703,Interior,Municipal,Rural,283.88558900000004,258.98149,Feminino,Preta,Julho,2003,Não tem,Não sei,"Completou o Ensino Médio, mas não completou a Faculdade",Menos de 1 hora,Menos de 1 hora,Não,Somente continuar estudando
108,2017,Sudeste,RJ,3302601,Interior,Municipal,Urbana,306.822443,234.48958399999998,Masculino,Preta,Dezembro,2002,Não tem,Não completou o 5.º ano do Ensino Fundamental,Não sei,Menos de 1 hora,Menos de 1 hora,Não,Continuar estudando e trabalhar
109,2017,Sudeste,SP,3507902,Interior,Estadual,Urbana,174.649169,176.066954,Feminino,Parda,Dezembro,2002,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Mais de 3 horas,Não,Somente continuar estudando
110,2017,Sul,PR,4101804,Interior,Estadual,Urbana,249.9878,222.97956499999998,Feminino,Parda,Janeiro,2001,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
111,2017,Centro-Oeste,DF,5300108,Capital,Estadual,Urbana,254.98085600000002,165.14402900000002,Feminino,Branca,Abril,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
