,ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
828,2017,Nordeste,BA,2922904,Interior,Municipal,Rural,175.44449699999998,223.166525,Masculino,Parda,Julho,2000,Não tem,Não completou o 5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
829,2017,Sudeste,MG,3111002,Interior,Municipal,Urbana,344.244665,371.01743799999997,Masculino,Branca,Janeiro,2003,"Sim, quatro ou mais",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
832,2017,Centro-Oeste,GO,5210406,Interior,Estadual,Urbana,289.376469,328.57951099999997,Masculino,Parda,Dezembro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
833,2017,Nordeste,BA,2910800,Interior,Estadual,Urbana,187.24268500000002,228.30146499999998,Masculino,Preta,Julho,2003,"Sim, um",Completou a Faculdade,Não sei,Mais de 3 horas,Mais de 3 horas,Não,Somente continuar estudando
834,2017,Nordeste,PB,2509701,Interior,Estadual,Urbana,243.60997200000003,270.864646,Masculino,Parda,Julho,2002,Não tem,Não completou o 5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
835,2017,Norte,AM,1303908,Interior,Estadual,Urbana,257.088673,236.00516000000002,Masculino,Parda,Maio,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
836,2017,Sul,PR,4122206,Interior,Estadual,Urbana,260.790121,313.961655,Feminino,Parda,Outubro,2003,"Sim, um",Não sei,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
837,2017,Sudeste,SP,3552502,Interior,Estadual,Urbana,193.07503400000002,204.902142,Masculino,Parda,Agosto,2000,"Sim, um","Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Menos de 1 hora,Sim,Somente trabalhar
838,2017,Centro-Oeste,MS,5002704,Capital,Federal,Urbana,336.062034,354.52461800000003,Masculino,Branca,Dezembro,2003,"Sim, quatro ou mais",Completou a Faculdade,Completou a Faculdade,Entre 1 e 2 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
839,2017,Sudeste,RJ,3300209,Interior,Municipal,Urbana,223.95547000000002,187.94614199999998,Masculino,Preta,Março,2002,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não sei,Menos de 1 hora,Entre 1 e 2 horas,Não,Ainda não sei
840,2017,Sul,RS,4315701,Interior,Estadual,Urbana,258.96394100000003,245.64709,Masculino,Branca,Novembro,2002,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Completou a Faculdade,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
